row_id,Age,BlastFurnaceSlag,Cement,CoarseAggregate,FineAggregate,FlyAsh,Superplasticizer,Water,ConcreteCompressiveStrength
007ee83a4c0ec4507fb32f8731f935a012521db167da3308bd680c4bc6048912,56,26,491,822,699,123,3.9300000000000002,201,61.855846854187959
0132635e978e77481373da257fc835a9be30e862d86b73317124e00256995bed,28,0,322,974,800,0,0,203,25.179663519999998
0136da1c3dab28fc0efb77e6030a80ceac9efe419f35136d82b9681e148758ab,28,163.90000000000001,139.69999999999999,868.60000000000002,655.60000000000002,127.7,5.7999999999999998,236.69999999999999,35.225328840000003
01545cebd7d3148f3d6637275857ec17d72a1fe3ab0c71ae3ada7391e66fca74,3,183.90000000000001,122.59999999999999,958.20000000000005,800.10000000000002,0,0,203.5,3.31982694
01cf3a713e33114c8332fd723f7d83493c3c70c63a2bbcbe14420a6dc56c1757,90,305.30000000000001,203.5,963.39999999999998,630,0,0,203.5,51.863763671999997
01f22a174cce5072fae13460f4d48f3f51eacac00ac8f971d1eb0bd38aed799d,3,133,200,965.39999999999998,806.20000000000005,0,0,192,11.414275180000001
027049bfc471f2365a62b66ac9ceb9f5a37b843eb0efc881a9733af89d301a21,28,153,149,935,623,194,8,192,24.579819400000002
02955accc155b2425683e8cc84dce437ae3250813dff59c3042eb83a65337c55,90,166.80000000000001,250.19999999999999,977.60000000000002,694.10000000000002,0,0,203.5,47.714497104000003
02d02fcc35c91c014e4f54f9c53620ce5f4d7ee53c0e44c90e691b1c03e20ccd,28,95,380,932,594,0,0,228,36.447769788000002
02e22287b3ee82c1e87d4b8b90a04c57df0f5c86571edd55b9f99fc93aab251c,3,19,359,942,801,141,10.91,154,23.639177145812042
03b3e6a3e1a6a93c2b3429764d99dcf6e0aaed80753d93f06945cb4468ace951,14,128.5,165,1005.8,746.60000000000002,132.09999999999999,8.0800000000000001,175.06,33.087953239999997
03c9192d54c597a43ab7dea6c741e37cfbd5c1523c1053aca808d0c0b3a328f5,7,0,225,1113,833,0,0,181,11.169511200000001
03d43747618e286e1fdaf7541cca35fed9fe14b9e76f83a8f2ff9001aad08ba5,14,0,190.34,1088.0999999999999,802.59000000000003,125.18000000000001,9.8800000000000008,161.84999999999999,22.718234200000001
04476207e27e4518ac27075ac20e2b1d976b5831908bf23941014199641420d5,28,0,154.80000000000001,877.20000000000005,867.70000000000005,142.80000000000001,9.0999999999999996,193.30000000000001,9.7381590239999998
0459ab2219cc9c7279a103aa58aab46d0f9cc10e90ad81a9f8dff693e8106bbf,56,0,238.05000000000001,949.90999999999997,847.00999999999999,94.109999999999999,7,186.66,39.589711919999999
04ad7cd5cdfadd217ce0ff3b120baeccaa5938f879e99f7571a7e2bd114ba479,28,200,200,1145,660,0,0,190,49.249270680000002
04b4ed8133b256c4d927b0ba6981b2797863a588dcd715ea05f14abf42baa68a,7,189,362.60000000000002,944.70000000000005,755.79999999999995,0,11.6,164.90000000000001,22.897497959999999
0506ca6efc31998db440441378a99df424ed4e992f32eecf22af262c94cb1f6c,7,124.09999999999999,186.19999999999999,1083.4000000000001,764.29999999999995,0,0,185.69999999999999,7.9958531720000003
054e3a76b9353ce8ac59ce916c2e0a5f38171c10fa4a99d4dfdfd08545b9ad1b,28,137,315,1130,745,0,5.9000000000000004,145,81.751169320000002
05eeda3349334f866729d73bd5a37c12f6b220f0f470390f8875b47eafa86f35,56,0,350,974,775,0,0,203,29.97841648
05f3df316cbe4c8aec95b39ac18a467b9fa52ed36dd474a34dea517c07332f17,3,0,251.37,1028.4000000000001,757.73000000000002,118.27,6.3499999999999996,188.44999999999999,13.12072828
0642206cb2d68db71e64c059ce4527d102e28aafec02a9805b8f1ad09c002000,56,24,446,967,712,79,11.640000000000001,162,56.14403068
067648b3798b15a31e81b70d264a44bf3fb7e3c6c8ccee01b260bfdd0c1f3021,56,0,275.06999999999999,1053.5999999999999,777.5,121.34999999999999,9.9000000000000004,159.47999999999999,56.847296200000002
06874265303478814c42dd9775708db2ff9a3b86edef1f99eb9566400ba6cbe1,3,42.079999999999998,167.94999999999999,1058.7,780.11000000000001,163.83000000000001,5.7199999999999998,121.75,7.7497102399999998
06b8ba2bf979006a23cc24cf88f6d1c98e30ee341c4dd7b6a696d5a6b761631d,3,97.099999999999994,388.60000000000002,852.10000000000002,925.70000000000005,0,12.1,157.90000000000001,28.096146999999998
06d4164205047a5b7ffab04f2e23bb6ae3eb031925cef5ed8968af1e47e95b11,90,0,475,932,594,0,0,228,42.229026048000001
