row_id,Diameter,Height,Length,Sex,Shell_weight,Shucked_weight,Viscera_weight,Whole_weight,Abalone_age
000a52e1a1b369f83cb285e74e4240e2255532e8ad05858d5c277e16d9846740,0.48999999999999999,0.185,0.625,M,0.34399999999999997,0.52749999999999997,0.2535,1.169,12.5
000b67488b449028b4e3f451838347a7cdd092a6ca53e9b6f950c914d108fa6e,0.435,0.155,0.57999999999999996,F,0.24249999999999999,0.42499999999999999,0.16850000000000001,0.87849999999999995,11.5
0010b4ab20f3c9e695e6988c9d6f031997665e8ea54326b70cc8f8d7564000cd,0.46000000000000002,0.14499999999999999,0.58499999999999996,I,0.29499999999999998,0.33900000000000002,0.16700000000000001,0.84650000000000003,11.5
002185a31a4afd8cc08ea41add634bb6cb449e23ede0c03cfdcd25743c218dc4,0.495,0.16,0.60999999999999999,F,0.38400000000000001,0.46899999999999997,0.19800000000000001,1.089,12.5
0029c9732adc19389a1ac6eb531445b75159f86b3e3579d2049021c41f8a388b,0.52500000000000002,0.17999999999999999,0.66000000000000003,F,0.36049999999999999,0.77649999999999997,0.39700000000000002,1.5965,11.5
00672360ceffb68d85e53b70b7705c5e880219a7b02363a32a3b288adfd50411,0.12,0.035000000000000003,0.16,I,0.0050000000000000001,0.0074999999999999997,0.0044999999999999997,0.021000000000000001,6.5
006e9778cd3730546b9b25a685297df82ef5b8adcf261f15d0426f5c26ecf64d,0.32000000000000001,0.080000000000000002,0.435,I,0.105,0.14849999999999999,0.063500000000000001,0.33250000000000002,10.5
00707645feb7b0c2e44ff0e97828e2e6eee65222be55f960847d0617b50715f2,0.46000000000000002,0.17000000000000001,0.56999999999999995,F,0.38,0.41249999999999998,0.2205,1.1000000000000001,15.5
007f37fc224386cdd88b2bfd725601b74c2c3748b34f6fb3fc96fc0fa64df545,0.56000000000000005,0.17999999999999999,0.70999999999999996,F,0.45250000000000001,0.73499999999999999,0.38100000000000001,1.6519999999999999,12.5
0083bc4d76ba0d805378037259d77b6be8d06c19698fce908a30f8d128ddf200,0.505,0.17499999999999999,0.65000000000000002,F,0.39000000000000001,0.51049999999999995,0.26200000000000001,1.2075,11.5
009e2d4e816dbe50722c27e90f66f973ac429ecd7be9d24419f83ff7d92e2cc9,0.42999999999999999,0.13500000000000001,0.53000000000000003,M,0.25,0.28000000000000003,0.2165,0.879,11.5
00cd6a6428e5d301c46bc60a4a0e0d992a9901543bcb4725c2b8ec260ea01e3d,0.39000000000000001,0.13500000000000001,0.5,M,0.23849999999999999,0.36099999999999999,0.1575,0.78149999999999997,10.5
